ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue,Profit
294016,Trumbo,2015,4,2017-12-16,False,3.6,1075,124,Drama,15000000.0,8235661.0,-6764339.0
400106,Bright,2017,3,2017-12-23,False,3.1,3966,117,Action|Crime|Science Fiction|Thriller,90000000.0,151866047.5,61866047.5
181808,Star Wars: Episode VIII The Last Jedi,2017,4,2017-12-26,True,3.5,10769,152,Science Fiction|Action|Adventure,200000000.0,1332539889.0,1132539889.0
297762,Wonder,2017,4,2018-01-02,True,3.65,14914,141,Action|Adventure|Fantasy,149000000.0,821847012.0,672847012.0
21208,Orphan,2009,3,2018-01-21,False,3.45,3195,123,Horror|Thriller|Mystery,20000000.0,77912251.0,57912251.0
2898,As Good as It Gets,1997,3,2018-01-28,False,3.7,2284,138,Comedy|Romance,50000000.0,314178011.0,264178011.0
49018,Insidious,2010,3,2018-02-16,False,3.45,4404,103,Horror|Thriller,1500000.0,97009150.0,95509150.0
446354,The Post,2017,3,2018-02-22,False,3.5,3213,116,Drama|History,50000000.0,174503458.0,124503458.0
392044,Murder on the Orient Express,2017,3,2018-03-01,False,3.35,6791,114,Crime|Drama|Mystery,55000000.0,351839303.0,296839303.0
399055,The Shape of Water,2017,4,2018-03-05,False,3.6,8879,123,Drama|Fantasy|Romance,19500000.0,194989655.0,175489655.0
429200,Good Time,2017,3,2018-03-09,False,3.6,1335,102,Crime|Drama|Thriller,30000000.0,3283369.0,-26716631.0
284054,Black Panther,2018,3,2018-03-13,True,3.7,15459,134,Action|Adventure|Fantasy|Science Fiction,200000000.0,1346739107.0,1146739107.0
359940,Three Billboards Outside Ebbing Missouri,2017,4,2018-03-17,False,4.05,6851,115,Crime|Drama,15000000.0,158526998.0,143526998.0
354912,Coco,2017,4,2018-03-21,False,4.1,11729,105,Animation|Family|Comedy|Adventure|Fantasy,175000000.0,800526015.0,625526015.0
300668,Annihilation,2018,3,2018-03-25,False,3.15,5735,115,Science Fiction|Horror,40000000.0,43070915.0,3070915.0
333339,Ready Player One,2018,3,2018-03-29,True,3.8,9680,140,Adventure|Science Fiction,175000000.0,582890172.0,407890172.0
447332,A Quiet Place,2018,4,2018-04-02,True,3.65,8416,91,Horror|Drama|Science Fiction,17000000.0,340677200.0,323677200.0
91586,Insidious: Chapter 2,2013,3,2018-04-06,False,3.3,2754,106,Horror|Thriller,5000000.0,151866047.5,146866047.5
280092,Insidious: Chapter 3,2015,3,2018-04-10,False,3.15,2274,97,Drama|Horror|Thriller,10000000.0,104303851.0,94303851.0
862,Toy Story,1995,5,2018-04-14,False,3.95,12640,81,Animation|Comedy|Family,30000000.0,373554033.0,343554033.0
9487,A Bug's Life,1998,4,2018-04-18,False,3.45,6231,95,Adventure|Animation|Comedy|Family,120000000.0,363258859.0,243258859.0
299536,Avengers: Infinity War,2018,4,2018-04-22,True,4.15,18946,149,Adventure|Action|Science Fiction,300000000.0,2046239637.0,1746239637.0
863,Toy Story 2,1999,3,2018-04-26,False,3.75,9505,92,Animation|Comedy|Family,90000000.0,497366869.0,407366869.0
585,Monsters Inc,2001,4,2018-04-30,False,3.9,12947,92,Animation|Comedy|Family,115000000.0,562816256.0,447816256.0
371638,The Disaster Artist,2017,4,2018-05-15,False,3.6,2454,104,Comedy|Drama,10000000.0,29820616.0,19820616.0
353486,Jumanji: Welcome to the Jungle,2017,3,2018-06-01,False,3.4,9544,119,Action|Adventure|Comedy|Fantasy,90000000.0,962102237.0,872102237.0
383498,Deadpool 2,2018,3,2018-06-03,True,3.75,11689,119,Action|Comedy|Adventure,110000000.0,741547413.0,631547413.0
343668,Kingsman: The Golden Circle,2017,3,2018-07-05,False,3.5,6870,141,Action|Adventure|Comedy,104000000.0,410902662.0,306902662.0
425972,Cargo,2017,3,2018-06-08,False,3.15,1027,105,Drama|Thriller|Adventure|Horror,30000000.0,56385.0,-29943615.0
49047,Gravity,2013,5,2018-06-08,False,3.6,11440,91,Science Fiction|Thriller|Drama,105000000.0,716392705.0,611392705.0
401981,Red Sparrow,2018,3,2018-06-09,False,3.25,4226,140,Mystery|Thriller,69000000.0,151572634.0,82572634.0
260513,Incredibles 2,2018,5,2018-06-28,True,3.75,8746,118,Action|Adventure|Animation|Family,200000000.0,1242805359.0,1042805359.0
